Day,Week/Phase,主題,今日聚焦,學習目標,今日任務清單,專案功能切片,5題主動回憶題,費曼輸出題,預期產出,建議時間,複習節奏,備註
1,Week 1,基礎盤點 + TypeScript/React 大型專案模式,專案骨架與工程規範,把「專案骨架與工程規範」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「專案骨架與工程規範」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「初始化 Next.js + TS + ESLint/Prettier/Husky，建立 app/features/shared/components 結構」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：初始化 Next.js + TS + ESLint/Prettier/Husky，建立 app/features/shared/components 結構；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「專案骨架與工程規範」主要在解決什麼問題？如果不處理，基礎盤點 + TypeScript/React 大型專案模式 會出現什麼維護成本？
2. 針對「初始化 Next.js + TS + ESLint/Prettier/Husky，建立 app/features/shared/components 結構」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「專案骨架與工程規範」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「專案骨架與工程規範」不能只追求能動，而要同時考慮可維護性？請順便用「初始化 Next.js + TS + ESLint/Prettier/Husky，建立 app/features/shared/components 結構」舉例。,EduFlow 完成「初始化 Next.js + TS + ESLint/Prettier/Husky，建立 app/features/shared/components 結構」的最小可交付版本，並補一段可面試口說的設計說明。,2–3 小時,複習節奏：D+1 看 Day 1 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
2,Week 1,基礎盤點 + TypeScript/React 大型專案模式,TypeScript 型別建模,把「TypeScript 型別建模」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「TypeScript 型別建模」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「建立 User/Course/Lesson 型別、ApiResponse<T>、PaginatedResponse<T>」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：建立 User/Course/Lesson 型別、ApiResponse<T>、PaginatedResponse<T>；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「TypeScript 型別建模」主要在解決什麼問題？如果不處理，基礎盤點 + TypeScript/React 大型專案模式 會出現什麼維護成本？
2. 針對「建立 User/Course/Lesson 型別、ApiResponse<T>、PaginatedResponse<T>」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「TypeScript 型別建模」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「TypeScript 型別建模」不能只追求能動，而要同時考慮可維護性？請順便用「建立 User/Course/Lesson 型別、ApiResponse<T>、PaginatedResponse<T>」舉例。,EduFlow 完成「建立 User/Course/Lesson 型別、ApiResponse<T>、PaginatedResponse<T>」的最小可交付版本，並補一段可面試口說的設計說明。,2–3 小時,複習節奏：D+1 看 Day 2 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
3,Week 1,基礎盤點 + TypeScript/React 大型專案模式,React render 模型與 state colocation,把「React render 模型與 state colocation」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「React render 模型與 state colocation」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「拆分 Courses 頁為 page/list/card/filter，決定 local state 的位置」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：拆分 Courses 頁為 page/list/card/filter，決定 local state 的位置；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「React render 模型與 state colocation」主要在解決什麼問題？如果不處理，基礎盤點 + TypeScript/React 大型專案模式 會出現什麼維護成本？
2. 針對「拆分 Courses 頁為 page/list/card/filter，決定 local state 的位置」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「React render 模型與 state colocation」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「React render 模型與 state colocation」不能只追求能動，而要同時考慮可維護性？請順便用「拆分 Courses 頁為 page/list/card/filter，決定 local state 的位置」舉例。,EduFlow 完成「拆分 Courses 頁為 page/list/card/filter，決定 local state 的位置」的最小可交付版本，並補一段可面試口說的設計說明。,2–3 小時,複習節奏：D+1 看 Day 3 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
4,Week 1,基礎盤點 + TypeScript/React 大型專案模式,基礎 UI 元件 API 設計,把「基礎 UI 元件 API 設計」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「基礎 UI 元件 API 設計」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「建立 Button/Input/Card/EmptyState 四個基礎元件」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：建立 Button/Input/Card/EmptyState 四個基礎元件；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「基礎 UI 元件 API 設計」主要在解決什麼問題？如果不處理，基礎盤點 + TypeScript/React 大型專案模式 會出現什麼維護成本？
2. 針對「建立 Button/Input/Card/EmptyState 四個基礎元件」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「基礎 UI 元件 API 設計」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「基礎 UI 元件 API 設計」不能只追求能動，而要同時考慮可維護性？請順便用「建立 Button/Input/Card/EmptyState 四個基礎元件」舉例。,EduFlow 完成「建立 Button/Input/Card/EmptyState 四個基礎元件」的最小可交付版本，並補一段可面試口說的設計說明。,2–3 小時,複習節奏：D+1 看 Day 4 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
5,Week 1,基礎盤點 + TypeScript/React 大型專案模式,表單驗證與錯誤處理,把「表單驗證與錯誤處理」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「表單驗證與錯誤處理」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「用 react-hook-form + zod（或同級方案）完成登入表單」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：用 react-hook-form + zod（或同級方案）完成登入表單；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「表單驗證與錯誤處理」主要在解決什麼問題？如果不處理，基礎盤點 + TypeScript/React 大型專案模式 會出現什麼維護成本？
2. 針對「用 react-hook-form + zod（或同級方案）完成登入表單」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「表單驗證與錯誤處理」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「表單驗證與錯誤處理」不能只追求能動，而要同時考慮可維護性？請順便用「用 react-hook-form + zod（或同級方案）完成登入表單」舉例。,EduFlow 完成「用 react-hook-form + zod（或同級方案）完成登入表單」的最小可交付版本，並補一段可面試口說的設計說明。,2–3 小時,複習節奏：D+1 看 Day 5 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
6,Week 1,基礎盤點 + TypeScript/React 大型專案模式,Dashboard layout 與頁面狀態,把「Dashboard layout 與頁面狀態」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「Dashboard layout 與頁面狀態」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「建立 dashboard 殼頁、loading/empty/error 狀態元件」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：建立 dashboard 殼頁、loading/empty/error 狀態元件；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「Dashboard layout 與頁面狀態」主要在解決什麼問題？如果不處理，基礎盤點 + TypeScript/React 大型專案模式 會出現什麼維護成本？
2. 針對「建立 dashboard 殼頁、loading/empty/error 狀態元件」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「Dashboard layout 與頁面狀態」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「Dashboard layout 與頁面狀態」不能只追求能動，而要同時考慮可維護性？請順便用「建立 dashboard 殼頁、loading/empty/error 狀態元件」舉例。,EduFlow 完成「建立 dashboard 殼頁、loading/empty/error 狀態元件」的最小可交付版本，並補一段可面試口說的設計說明。,2–3 小時,複習節奏：D+1 看 Day 6 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
7,Week 1,基礎盤點 + TypeScript/React 大型專案模式,Week 1 收斂與閉卷測驗,把「Week 1 收斂與閉卷測驗」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「Week 1 收斂與閉卷測驗」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「整理 README、規範文件、20 張複習卡與 3–5 分鐘 demo」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：整理 README、規範文件、20 張複習卡與 3–5 分鐘 demo；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「Week 1 收斂與閉卷測驗」主要在解決什麼問題？如果不處理，基礎盤點 + TypeScript/React 大型專案模式 會出現什麼維護成本？
2. 針對「整理 README、規範文件、20 張複習卡與 3–5 分鐘 demo」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「Week 1 收斂與閉卷測驗」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「Week 1 收斂與閉卷測驗」不能只追求能動，而要同時考慮可維護性？請順便用「整理 README、規範文件、20 張複習卡與 3–5 分鐘 demo」舉例。,EduFlow 完成「整理 README、規範文件、20 張複習卡與 3–5 分鐘 demo」的最小可交付版本，並補一段可面試口說的設計說明。,4–6 小時（週收斂）,複習節奏：D+1 看 Day 7 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
8,Week 2,狀態管理與資料流（Redux Toolkit / RTK Query）,狀態分類策略,把「狀態分類策略」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「狀態分類策略」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「區分 component state / global state / server cache，畫出決策樹」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：區分 component state / global state / server cache，畫出決策樹；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「狀態分類策略」主要在解決什麼問題？如果不處理，狀態管理與資料流（Redux Toolkit / RTK Query） 會出現什麼維護成本？
2. 針對「區分 component state / global state / server cache，畫出決策樹」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「狀態分類策略」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「狀態分類策略」不能只追求能動，而要同時考慮可維護性？請順便用「區分 component state / global state / server cache，畫出決策樹」舉例。,EduFlow 完成「區分 component state / global state / server cache，畫出決策樹」的最小可交付版本，並補一段可面試口說的設計說明。,2–3 小時,複習節奏：D+1 看 Day 8 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
9,Week 2,狀態管理與資料流（Redux Toolkit / RTK Query）,Redux Toolkit slice 設計,把「Redux Toolkit slice 設計」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「Redux Toolkit slice 設計」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「建立 authSlice、uiSlice，整理 actions / selectors」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：建立 authSlice、uiSlice，整理 actions / selectors；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「Redux Toolkit slice 設計」主要在解決什麼問題？如果不處理，狀態管理與資料流（Redux Toolkit / RTK Query） 會出現什麼維護成本？
2. 針對「建立 authSlice、uiSlice，整理 actions / selectors」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「Redux Toolkit slice 設計」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「Redux Toolkit slice 設計」不能只追求能動，而要同時考慮可維護性？請順便用「建立 authSlice、uiSlice，整理 actions / selectors」舉例。,EduFlow 完成「建立 authSlice、uiSlice，整理 actions / selectors」的最小可交付版本，並補一段可面試口說的設計說明。,2–3 小時,複習節奏：D+1 看 Day 9 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
10,Week 2,狀態管理與資料流（Redux Toolkit / RTK Query）,非同步流程與 createAsyncThunk,把「非同步流程與 createAsyncThunk」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「非同步流程與 createAsyncThunk」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「實作登入與取得使用者資訊的 thunk 流程」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：實作登入與取得使用者資訊的 thunk 流程；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「非同步流程與 createAsyncThunk」主要在解決什麼問題？如果不處理，狀態管理與資料流（Redux Toolkit / RTK Query） 會出現什麼維護成本？
2. 針對「實作登入與取得使用者資訊的 thunk 流程」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「非同步流程與 createAsyncThunk」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「非同步流程與 createAsyncThunk」不能只追求能動，而要同時考慮可維護性？請順便用「實作登入與取得使用者資訊的 thunk 流程」舉例。,EduFlow 完成「實作登入與取得使用者資訊的 thunk 流程」的最小可交付版本，並補一段可面試口說的設計說明。,2–3 小時,複習節奏：D+1 看 Day 10 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
11,Week 2,狀態管理與資料流（Redux Toolkit / RTK Query）,RTK Query 基礎查詢,把「RTK Query 基礎查詢」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「RTK Query 基礎查詢」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「建立 coursesApi，完成 list/detail 查詢」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：建立 coursesApi，完成 list/detail 查詢；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「RTK Query 基礎查詢」主要在解決什麼問題？如果不處理，狀態管理與資料流（Redux Toolkit / RTK Query） 會出現什麼維護成本？
2. 針對「建立 coursesApi，完成 list/detail 查詢」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「RTK Query 基礎查詢」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「RTK Query 基礎查詢」不能只追求能動，而要同時考慮可維護性？請順便用「建立 coursesApi，完成 list/detail 查詢」舉例。,EduFlow 完成「建立 coursesApi，完成 list/detail 查詢」的最小可交付版本，並補一段可面試口說的設計說明。,2–3 小時,複習節奏：D+1 看 Day 11 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
12,Week 2,狀態管理與資料流（Redux Toolkit / RTK Query）,快取與 invalidation,把「快取與 invalidation」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「快取與 invalidation」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「設計 create/update course 後的 cache invalidation 規則」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：設計 create/update course 後的 cache invalidation 規則；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「快取與 invalidation」主要在解決什麼問題？如果不處理，狀態管理與資料流（Redux Toolkit / RTK Query） 會出現什麼維護成本？
2. 針對「設計 create/update course 後的 cache invalidation 規則」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「快取與 invalidation」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「快取與 invalidation」不能只追求能動，而要同時考慮可維護性？請順便用「設計 create/update course 後的 cache invalidation 規則」舉例。,EduFlow 完成「設計 create/update course 後的 cache invalidation 規則」的最小可交付版本，並補一段可面試口說的設計說明。,2–3 小時,複習節奏：D+1 看 Day 12 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
13,Week 2,狀態管理與資料流（Redux Toolkit / RTK Query）,Optimistic update 與 rollback,把「Optimistic update 與 rollback」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「Optimistic update 與 rollback」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「完成課程標題快速修改，失敗時回滾」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：完成課程標題快速修改，失敗時回滾；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「Optimistic update 與 rollback」主要在解決什麼問題？如果不處理，狀態管理與資料流（Redux Toolkit / RTK Query） 會出現什麼維護成本？
2. 針對「完成課程標題快速修改，失敗時回滾」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「Optimistic update 與 rollback」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「Optimistic update 與 rollback」不能只追求能動，而要同時考慮可維護性？請順便用「完成課程標題快速修改，失敗時回滾」舉例。,EduFlow 完成「完成課程標題快速修改，失敗時回滾」的最小可交付版本，並補一段可面試口說的設計說明。,2–3 小時,複習節奏：D+1 看 Day 13 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
