Day,Week/Phase,主題,今日聚焦,學習目標,今日任務清單,專案功能切片,5題主動回憶題,費曼輸出題,預期產出,建議時間,複習節奏,備註
14,Week 2,狀態管理與資料流（Redux Toolkit / RTK Query）,Week 2 收斂與狀態決策文件,把「Week 2 收斂與狀態決策文件」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「Week 2 收斂與狀態決策文件」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「整理 state decision doc、比較 local state vs RTKQ 取捨」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：整理 state decision doc、比較 local state vs RTKQ 取捨；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「Week 2 收斂與狀態決策文件」主要在解決什麼問題？如果不處理，狀態管理與資料流（Redux Toolkit / RTK Query） 會出現什麼維護成本？
2. 針對「整理 state decision doc、比較 local state vs RTKQ 取捨」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「Week 2 收斂與狀態決策文件」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「Week 2 收斂與狀態決策文件」不能只追求能動，而要同時考慮可維護性？請順便用「整理 state decision doc、比較 local state vs RTKQ 取捨」舉例。,EduFlow 完成「整理 state decision doc、比較 local state vs RTKQ 取捨」的最小可交付版本，並補一段可面試口說的設計說明。,4–6 小時（週收斂）,複習節奏：D+1 看 Day 14 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
15,Week 3,元件架構 + Design System + 可重用性,Primitive 與 feature component 分層,把「Primitive 與 feature component 分層」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「Primitive 與 feature component 分層」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「定義 ui primitives / shared / feature components 邊界」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：定義 ui primitives / shared / feature components 邊界；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「Primitive 與 feature component 分層」主要在解決什麼問題？如果不處理，元件架構 + Design System + 可重用性 會出現什麼維護成本？
2. 針對「定義 ui primitives / shared / feature components 邊界」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「Primitive 與 feature component 分層」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「Primitive 與 feature component 分層」不能只追求能動，而要同時考慮可維護性？請順便用「定義 ui primitives / shared / feature components 邊界」舉例。,EduFlow 完成「定義 ui primitives / shared / feature components 邊界」的最小可交付版本，並補一段可面試口說的設計說明。,2–3 小時,複習節奏：D+1 看 Day 15 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
16,Week 3,元件架構 + Design System + 可重用性,Button / Input / Select 規格化,把「Button / Input / Select 規格化」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「Button / Input / Select 規格化」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「補 disabled/loading/error/help text 等行為一致性」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：補 disabled/loading/error/help text 等行為一致性；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「Button / Input / Select 規格化」主要在解決什麼問題？如果不處理，元件架構 + Design System + 可重用性 會出現什麼維護成本？
2. 針對「補 disabled/loading/error/help text 等行為一致性」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「Button / Input / Select 規格化」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「Button / Input / Select 規格化」不能只追求能動，而要同時考慮可維護性？請順便用「補 disabled/loading/error/help text 等行為一致性」舉例。,EduFlow 完成「補 disabled/loading/error/help text 等行為一致性」的最小可交付版本，並補一段可面試口說的設計說明。,2–3 小時,複習節奏：D+1 看 Day 16 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
17,Week 3,元件架構 + Design System + 可重用性,Modal / Drawer / Toast 互動模式,把「Modal / Drawer / Toast 互動模式」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「Modal / Drawer / Toast 互動模式」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「建立 overlay 元件與關閉規則」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：建立 overlay 元件與關閉規則；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「Modal / Drawer / Toast 互動模式」主要在解決什麼問題？如果不處理，元件架構 + Design System + 可重用性 會出現什麼維護成本？
2. 針對「建立 overlay 元件與關閉規則」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「Modal / Drawer / Toast 互動模式」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「Modal / Drawer / Toast 互動模式」不能只追求能動，而要同時考慮可維護性？請順便用「建立 overlay 元件與關閉規則」舉例。,EduFlow 完成「建立 overlay 元件與關閉規則」的最小可交付版本，並補一段可面試口說的設計說明。,2–3 小時,複習節奏：D+1 看 Day 17 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
18,Week 3,元件架構 + Design System + 可重用性,Table 與資料展示模式,把「Table 與資料展示模式」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「Table 與資料展示模式」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「做 sortable/paginated table 雛型」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：做 sortable/paginated table 雛型；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「Table 與資料展示模式」主要在解決什麼問題？如果不處理，元件架構 + Design System + 可重用性 會出現什麼維護成本？
2. 針對「做 sortable/paginated table 雛型」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「Table 與資料展示模式」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「Table 與資料展示模式」不能只追求能動，而要同時考慮可維護性？請順便用「做 sortable/paginated table 雛型」舉例。,EduFlow 完成「做 sortable/paginated table 雛型」的最小可交付版本，並補一段可面試口說的設計說明。,2–3 小時,複習節奏：D+1 看 Day 18 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
19,Week 3,元件架構 + Design System + 可重用性,Form pattern 與欄位抽象,把「Form pattern 與欄位抽象」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「Form pattern 與欄位抽象」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「抽 FormField、ErrorMessage、FieldGroup」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：抽 FormField、ErrorMessage、FieldGroup；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「Form pattern 與欄位抽象」主要在解決什麼問題？如果不處理，元件架構 + Design System + 可重用性 會出現什麼維護成本？
2. 針對「抽 FormField、ErrorMessage、FieldGroup」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「Form pattern 與欄位抽象」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「Form pattern 與欄位抽象」不能只追求能動，而要同時考慮可維護性？請順便用「抽 FormField、ErrorMessage、FieldGroup」舉例。,EduFlow 完成「抽 FormField、ErrorMessage、FieldGroup」的最小可交付版本，並補一段可面試口說的設計說明。,2–3 小時,複習節奏：D+1 看 Day 19 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
20,Week 3,元件架構 + Design System + 可重用性,A11y 與鍵盤操作,把「A11y 與鍵盤操作」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「A11y 與鍵盤操作」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「補 aria / focus trap / keyboard navigation」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：補 aria / focus trap / keyboard navigation；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「A11y 與鍵盤操作」主要在解決什麼問題？如果不處理，元件架構 + Design System + 可重用性 會出現什麼維護成本？
2. 針對「補 aria / focus trap / keyboard navigation」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「A11y 與鍵盤操作」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「A11y 與鍵盤操作」不能只追求能動，而要同時考慮可維護性？請順便用「補 aria / focus trap / keyboard navigation」舉例。,EduFlow 完成「補 aria / focus trap / keyboard navigation」的最小可交付版本，並補一段可面試口說的設計說明。,2–3 小時,複習節奏：D+1 看 Day 20 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
21,Week 3,元件架構 + Design System + 可重用性,Week 3 收斂與元件 API 準則,把「Week 3 收斂與元件 API 準則」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「Week 3 收斂與元件 API 準則」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「整理 component API guidelines + 範例頁」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：整理 component API guidelines + 範例頁；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「Week 3 收斂與元件 API 準則」主要在解決什麼問題？如果不處理，元件架構 + Design System + 可重用性 會出現什麼維護成本？
2. 針對「整理 component API guidelines + 範例頁」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「Week 3 收斂與元件 API 準則」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「Week 3 收斂與元件 API 準則」不能只追求能動，而要同時考慮可維護性？請順便用「整理 component API guidelines + 範例頁」舉例。,EduFlow 完成「整理 component API guidelines + 範例頁」的最小可交付版本，並補一段可面試口說的設計說明。,4–6 小時（週收斂）,複習節奏：D+1 看 Day 21 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
22,Week 4,Next.js SSR / ISR / CSR + 路由與 SEO,App Router 與 server/client component 邊界,把「App Router 與 server/client component 邊界」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「App Router 與 server/client component 邊界」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「決定哪些頁面由 server component 主導」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：決定哪些頁面由 server component 主導；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「App Router 與 server/client component 邊界」主要在解決什麼問題？如果不處理，Next.js SSR / ISR / CSR + 路由與 SEO 會出現什麼維護成本？
2. 針對「決定哪些頁面由 server component 主導」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「App Router 與 server/client component 邊界」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「App Router 與 server/client component 邊界」不能只追求能動，而要同時考慮可維護性？請順便用「決定哪些頁面由 server component 主導」舉例。,EduFlow 完成「決定哪些頁面由 server component 主導」的最小可交付版本，並補一段可面試口說的設計說明。,2–3 小時,複習節奏：D+1 看 Day 22 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
23,Week 4,Next.js SSR / ISR / CSR + 路由與 SEO,SSR 頁面設計,把「SSR 頁面設計」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「SSR 頁面設計」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「讓 course detail 改為 SSR 取得資料」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：讓 course detail 改為 SSR 取得資料；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「SSR 頁面設計」主要在解決什麼問題？如果不處理，Next.js SSR / ISR / CSR + 路由與 SEO 會出現什麼維護成本？
2. 針對「讓 course detail 改為 SSR 取得資料」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「SSR 頁面設計」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「SSR 頁面設計」不能只追求能動，而要同時考慮可維護性？請順便用「讓 course detail 改為 SSR 取得資料」舉例。,EduFlow 完成「讓 course detail 改為 SSR 取得資料」的最小可交付版本，並補一段可面試口說的設計說明。,2–3 小時,複習節奏：D+1 看 Day 23 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
24,Week 4,Next.js SSR / ISR / CSR + 路由與 SEO,ISR 與 revalidate 策略,把「ISR 與 revalidate 策略」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「ISR 與 revalidate 策略」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「讓 public course catalog 使用 ISR」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：讓 public course catalog 使用 ISR；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「ISR 與 revalidate 策略」主要在解決什麼問題？如果不處理，Next.js SSR / ISR / CSR + 路由與 SEO 會出現什麼維護成本？
2. 針對「讓 public course catalog 使用 ISR」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「ISR 與 revalidate 策略」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「ISR 與 revalidate 策略」不能只追求能動，而要同時考慮可維護性？請順便用「讓 public course catalog 使用 ISR」舉例。,EduFlow 完成「讓 public course catalog 使用 ISR」的最小可交付版本，並補一段可面試口說的設計說明。,2–3 小時,複習節奏：D+1 看 Day 24 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
25,Week 4,Next.js SSR / ISR / CSR + 路由與 SEO,CSR 適用情境,把「CSR 適用情境」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「CSR 適用情境」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「把 dashboard filters / search 保持在 client side」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：把 dashboard filters / search 保持在 client side；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「CSR 適用情境」主要在解決什麼問題？如果不處理，Next.js SSR / ISR / CSR + 路由與 SEO 會出現什麼維護成本？
2. 針對「把 dashboard filters / search 保持在 client side」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「CSR 適用情境」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「CSR 適用情境」不能只追求能動，而要同時考慮可維護性？請順便用「把 dashboard filters / search 保持在 client side」舉例。,EduFlow 完成「把 dashboard filters / search 保持在 client side」的最小可交付版本，並補一段可面試口說的設計說明。,2–3 小時,複習節奏：D+1 看 Day 25 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
26,Week 4,Next.js SSR / ISR / CSR + 路由與 SEO,Metadata / OG / SEO basics,把「Metadata / OG / SEO basics」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「Metadata / OG / SEO basics」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「補 title/description/open graph」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：補 title/description/open graph；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「Metadata / OG / SEO basics」主要在解決什麼問題？如果不處理，Next.js SSR / ISR / CSR + 路由與 SEO 會出現什麼維護成本？
2. 針對「補 title/description/open graph」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「Metadata / OG / SEO basics」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「Metadata / OG / SEO basics」不能只追求能動，而要同時考慮可維護性？請順便用「補 title/description/open graph」舉例。,EduFlow 完成「補 title/description/open graph」的最小可交付版本，並補一段可面試口說的設計說明。,2–3 小時,複習節奏：D+1 看 Day 26 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
27,Week 4,Next.js SSR / ISR / CSR + 路由與 SEO,快取與資料一致性,把「快取與資料一致性」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「快取與資料一致性」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「盤點 ISR/SSR/RTKQ 之間的資料更新策略」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：盤點 ISR/SSR/RTKQ 之間的資料更新策略；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「快取與資料一致性」主要在解決什麼問題？如果不處理，Next.js SSR / ISR / CSR + 路由與 SEO 會出現什麼維護成本？
2. 針對「盤點 ISR/SSR/RTKQ 之間的資料更新策略」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「快取與資料一致性」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「快取與資料一致性」不能只追求能動，而要同時考慮可維護性？請順便用「盤點 ISR/SSR/RTKQ 之間的資料更新策略」舉例。,EduFlow 完成「盤點 ISR/SSR/RTKQ 之間的資料更新策略」的最小可交付版本，並補一段可面試口說的設計說明。,2–3 小時,複習節奏：D+1 看 Day 27 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
