Day,Week/Phase,主題,今日聚焦,學習目標,今日任務清單,專案功能切片,5題主動回憶題,費曼輸出題,預期產出,建議時間,複習節奏,備註
28,Week 4,Next.js SSR / ISR / CSR + 路由與 SEO,Week 4 收斂與渲染策略指南,把「Week 4 收斂與渲染策略指南」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「Week 4 收斂與渲染策略指南」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「整理何時 SSR/ISR/CSR 的 decision guide」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：整理何時 SSR/ISR/CSR 的 decision guide；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「Week 4 收斂與渲染策略指南」主要在解決什麼問題？如果不處理，Next.js SSR / ISR / CSR + 路由與 SEO 會出現什麼維護成本？
2. 針對「整理何時 SSR/ISR/CSR 的 decision guide」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「Week 4 收斂與渲染策略指南」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「Week 4 收斂與渲染策略指南」不能只追求能動，而要同時考慮可維護性？請順便用「整理何時 SSR/ISR/CSR 的 decision guide」舉例。,EduFlow 完成「整理何時 SSR/ISR/CSR 的 decision guide」的最小可交付版本，並補一段可面試口說的設計說明。,4–6 小時（週收斂）,複習節奏：D+1 看 Day 28 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
29,Week 5,測試（單元 / 整合 / E2E）+ Code Quality Gate,測試金字塔與風險路徑,把「測試金字塔與風險路徑」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「測試金字塔與風險路徑」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「盤點哪些元件與流程必測」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：盤點哪些元件與流程必測；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「測試金字塔與風險路徑」主要在解決什麼問題？如果不處理，測試（單元 / 整合 / E2E）+ Code Quality Gate 會出現什麼維護成本？
2. 針對「盤點哪些元件與流程必測」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「測試金字塔與風險路徑」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「測試金字塔與風險路徑」不能只追求能動，而要同時考慮可維護性？請順便用「盤點哪些元件與流程必測」舉例。,EduFlow 完成「盤點哪些元件與流程必測」的最小可交付版本，並補一段可面試口說的設計說明。,2–3 小時,複習節奏：D+1 看 Day 29 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
30,Week 5,測試（單元 / 整合 / E2E）+ Code Quality Gate,Vitest / RTL 基礎,把「Vitest / RTL 基礎」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「Vitest / RTL 基礎」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「替 Button、LoginForm、CourseCard 補單元測試」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：替 Button、LoginForm、CourseCard 補單元測試；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「Vitest / RTL 基礎」主要在解決什麼問題？如果不處理，測試（單元 / 整合 / E2E）+ Code Quality Gate 會出現什麼維護成本？
2. 針對「替 Button、LoginForm、CourseCard 補單元測試」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「Vitest / RTL 基礎」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「Vitest / RTL 基礎」不能只追求能動，而要同時考慮可維護性？請順便用「替 Button、LoginForm、CourseCard 補單元測試」舉例。,EduFlow 完成「替 Button、LoginForm、CourseCard 補單元測試」的最小可交付版本，並補一段可面試口說的設計說明。,2–3 小時,複習節奏：D+1 看 Day 30 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
31,Week 5,測試（單元 / 整合 / E2E）+ Code Quality Gate,整合測試與 MSW,把「整合測試與 MSW」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「整合測試與 MSW」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「模擬 API 回應測試登入與課程列表」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：模擬 API 回應測試登入與課程列表；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「整合測試與 MSW」主要在解決什麼問題？如果不處理，測試（單元 / 整合 / E2E）+ Code Quality Gate 會出現什麼維護成本？
2. 針對「模擬 API 回應測試登入與課程列表」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「整合測試與 MSW」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「整合測試與 MSW」不能只追求能動，而要同時考慮可維護性？請順便用「模擬 API 回應測試登入與課程列表」舉例。,EduFlow 完成「模擬 API 回應測試登入與課程列表」的最小可交付版本，並補一段可面試口說的設計說明。,2–3 小時,複習節奏：D+1 看 Day 31 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
32,Week 5,測試（單元 / 整合 / E2E）+ Code Quality Gate,Playwright E2E 基礎,把「Playwright E2E 基礎」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「Playwright E2E 基礎」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「覆蓋登入→dashboard→課程列表流程」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：覆蓋登入→dashboard→課程列表流程；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「Playwright E2E 基礎」主要在解決什麼問題？如果不處理，測試（單元 / 整合 / E2E）+ Code Quality Gate 會出現什麼維護成本？
2. 針對「覆蓋登入→dashboard→課程列表流程」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「Playwright E2E 基礎」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「Playwright E2E 基礎」不能只追求能動，而要同時考慮可維護性？請順便用「覆蓋登入→dashboard→課程列表流程」舉例。,EduFlow 完成「覆蓋登入→dashboard→課程列表流程」的最小可交付版本，並補一段可面試口說的設計說明。,2–3 小時,複習節奏：D+1 看 Day 32 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
33,Week 5,測試（單元 / 整合 / E2E）+ Code Quality Gate,檔案上傳與異常情境測試,把「檔案上傳與異常情境測試」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「檔案上傳與異常情境測試」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「測試教材上傳失敗/格式錯誤/重試」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：測試教材上傳失敗/格式錯誤/重試；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「檔案上傳與異常情境測試」主要在解決什麼問題？如果不處理，測試（單元 / 整合 / E2E）+ Code Quality Gate 會出現什麼維護成本？
2. 針對「測試教材上傳失敗/格式錯誤/重試」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「檔案上傳與異常情境測試」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「檔案上傳與異常情境測試」不能只追求能動，而要同時考慮可維護性？請順便用「測試教材上傳失敗/格式錯誤/重試」舉例。,EduFlow 完成「測試教材上傳失敗/格式錯誤/重試」的最小可交付版本，並補一段可面試口說的設計說明。,2–3 小時,複習節奏：D+1 看 Day 33 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
34,Week 5,測試（單元 / 整合 / E2E）+ Code Quality Gate,品質門檻與 PR 規範,把「品質門檻與 PR 規範」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「品質門檻與 PR 規範」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「定義 lint/test/build 通過條件與 PR checklist」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：定義 lint/test/build 通過條件與 PR checklist；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「品質門檻與 PR 規範」主要在解決什麼問題？如果不處理，測試（單元 / 整合 / E2E）+ Code Quality Gate 會出現什麼維護成本？
2. 針對「定義 lint/test/build 通過條件與 PR checklist」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「品質門檻與 PR 規範」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「品質門檻與 PR 規範」不能只追求能動，而要同時考慮可維護性？請順便用「定義 lint/test/build 通過條件與 PR checklist」舉例。,EduFlow 完成「定義 lint/test/build 通過條件與 PR checklist」的最小可交付版本，並補一段可面試口說的設計說明。,2–3 小時,複習節奏：D+1 看 Day 34 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
35,Week 5,測試（單元 / 整合 / E2E）+ Code Quality Gate,Week 5 收斂與測試策略文件,把「Week 5 收斂與測試策略文件」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「Week 5 收斂與測試策略文件」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「寫 testing strategy + 哪些必測/可不測」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：寫 testing strategy + 哪些必測/可不測；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「Week 5 收斂與測試策略文件」主要在解決什麼問題？如果不處理，測試（單元 / 整合 / E2E）+ Code Quality Gate 會出現什麼維護成本？
2. 針對「寫 testing strategy + 哪些必測/可不測」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「Week 5 收斂與測試策略文件」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「Week 5 收斂與測試策略文件」不能只追求能動，而要同時考慮可維護性？請順便用「寫 testing strategy + 哪些必測/可不測」舉例。,EduFlow 完成「寫 testing strategy + 哪些必測/可不測」的最小可交付版本，並補一段可面試口說的設計說明。,4–6 小時（週收斂）,複習節奏：D+1 看 Day 35 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
