Day,Week/Phase,主題,今日聚焦,學習目標,今日任務清單,專案功能切片,5題主動回憶題,費曼輸出題,預期產出,建議時間,複習節奏,備註
44,Week 7,Firebase（Hosting / Storage）+ 部署實務,Hosting 部署流程,把「Hosting 部署流程」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「Hosting 部署流程」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「把 Next 專案部署到可公開存取環境」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：把 Next 專案部署到可公開存取環境；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「Hosting 部署流程」主要在解決什麼問題？如果不處理，Firebase（Hosting / Storage）+ 部署實務 會出現什麼維護成本？
2. 針對「把 Next 專案部署到可公開存取環境」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「Hosting 部署流程」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「Hosting 部署流程」不能只追求能動，而要同時考慮可維護性？請順便用「把 Next 專案部署到可公開存取環境」舉例。,EduFlow 完成「把 Next 專案部署到可公開存取環境」的最小可交付版本，並補一段可面試口說的設計說明。,2–3 小時,複習節奏：D+1 看 Day 44 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
45,Week 7,Firebase（Hosting / Storage）+ 部署實務,Storage 上傳流程,把「Storage 上傳流程」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「Storage 上傳流程」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「完成教材圖片/附件上傳」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：完成教材圖片/附件上傳；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「Storage 上傳流程」主要在解決什麼問題？如果不處理，Firebase（Hosting / Storage）+ 部署實務 會出現什麼維護成本？
2. 針對「完成教材圖片/附件上傳」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「Storage 上傳流程」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「Storage 上傳流程」不能只追求能動，而要同時考慮可維護性？請順便用「完成教材圖片/附件上傳」舉例。,EduFlow 完成「完成教材圖片/附件上傳」的最小可交付版本，並補一段可面試口說的設計說明。,2–3 小時,複習節奏：D+1 看 Day 45 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
46,Week 7,Firebase（Hosting / Storage）+ 部署實務,Storage security rules,把「Storage security rules」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「Storage security rules」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「限制登入者與資源擁有者的存取權限」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：限制登入者與資源擁有者的存取權限；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「Storage security rules」主要在解決什麼問題？如果不處理，Firebase（Hosting / Storage）+ 部署實務 會出現什麼維護成本？
2. 針對「限制登入者與資源擁有者的存取權限」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「Storage security rules」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「Storage security rules」不能只追求能動，而要同時考慮可維護性？請順便用「限制登入者與資源擁有者的存取權限」舉例。,EduFlow 完成「限制登入者與資源擁有者的存取權限」的最小可交付版本，並補一段可面試口說的設計說明。,2–3 小時,複習節奏：D+1 看 Day 46 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
47,Week 7,Firebase（Hosting / Storage）+ 部署實務,環境區分與設定管理,把「環境區分與設定管理」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「環境區分與設定管理」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「整理 .env、secret、firebase config」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：整理 .env、secret、firebase config；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「環境區分與設定管理」主要在解決什麼問題？如果不處理，Firebase（Hosting / Storage）+ 部署實務 會出現什麼維護成本？
2. 針對「整理 .env、secret、firebase config」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「環境區分與設定管理」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「環境區分與設定管理」不能只追求能動，而要同時考慮可維護性？請順便用「整理 .env、secret、firebase config」舉例。,EduFlow 完成「整理 .env、secret、firebase config」的最小可交付版本，並補一段可面試口說的設計說明。,2–3 小時,複習節奏：D+1 看 Day 47 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
48,Week 7,Firebase（Hosting / Storage）+ 部署實務,Staging 驗收與 smoke test,把「Staging 驗收與 smoke test」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「Staging 驗收與 smoke test」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「在 staging 走一次上傳/瀏覽/編輯流程」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：在 staging 走一次上傳/瀏覽/編輯流程；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「Staging 驗收與 smoke test」主要在解決什麼問題？如果不處理，Firebase（Hosting / Storage）+ 部署實務 會出現什麼維護成本？
2. 針對「在 staging 走一次上傳/瀏覽/編輯流程」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「Staging 驗收與 smoke test」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「Staging 驗收與 smoke test」不能只追求能動，而要同時考慮可維護性？請順便用「在 staging 走一次上傳/瀏覽/編輯流程」舉例。,EduFlow 完成「在 staging 走一次上傳/瀏覽/編輯流程」的最小可交付版本，並補一段可面試口說的設計說明。,2–3 小時,複習節奏：D+1 看 Day 48 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
49,Week 7,Firebase（Hosting / Storage）+ 部署實務,Week 7 收斂與上線 runbook,把「Week 7 收斂與上線 runbook」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「Week 7 收斂與上線 runbook」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「寫部署步驟、rollback、常見故障排除」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：寫部署步驟、rollback、常見故障排除；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「Week 7 收斂與上線 runbook」主要在解決什麼問題？如果不處理，Firebase（Hosting / Storage）+ 部署實務 會出現什麼維護成本？
2. 針對「寫部署步驟、rollback、常見故障排除」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「Week 7 收斂與上線 runbook」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「Week 7 收斂與上線 runbook」不能只追求能動，而要同時考慮可維護性？請順便用「寫部署步驟、rollback、常見故障排除」舉例。,EduFlow 完成「寫部署步驟、rollback、常見故障排除」的最小可交付版本，並補一段可面試口說的設計說明。,4–6 小時（週收斂）,複習節奏：D+1 看 Day 49 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
50,Week 8,CI/CD + Git 協作 + 敏捷流程 + 影響力,Branch strategy 與 commit convention,把「Branch strategy 與 commit convention」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「Branch strategy 與 commit convention」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「整理 main/develop/feature 與 commit 規範」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：整理 main/develop/feature 與 commit 規範；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「Branch strategy 與 commit convention」主要在解決什麼問題？如果不處理，CI/CD + Git 協作 + 敏捷流程 + 影響力 會出現什麼維護成本？
2. 針對「整理 main/develop/feature 與 commit 規範」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「Branch strategy 與 commit convention」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「Branch strategy 與 commit convention」不能只追求能動，而要同時考慮可維護性？請順便用「整理 main/develop/feature 與 commit 規範」舉例。,EduFlow 完成「整理 main/develop/feature 與 commit 規範」的最小可交付版本，並補一段可面試口說的設計說明。,2–3 小時,複習節奏：D+1 看 Day 50 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
51,Week 8,CI/CD + Git 協作 + 敏捷流程 + 影響力,GitHub Actions 基礎 CI,把「GitHub Actions 基礎 CI」從概念變成可交付成果，並能用面試可理解的方式解釋設計取捨。,"1. 主動回憶 10–15 分鐘：先不看資料，口頭回答今天主題的 5 題問題
2. 主題學習 25–35 分鐘：聚焦「GitHub Actions 基礎 CI」的原理與常見 trade-off
3. 交錯實作 60–90 分鐘：在 EduFlow 中完成「自動跑 lint/test/build」
4. 費曼輸出 15 分鐘：用 150–250 字解釋今天的設計決策與踩雷點
5. 間隔複習 10 分鐘：回顧前 1 天 / 7 天的卡片與舊功能",功能切片：自動跑 lint/test/build；驗收重點：頁面可操作、命名一致、狀態明確、可被後續測試/重構。,"1. 「GitHub Actions 基礎 CI」主要在解決什麼問題？如果不處理，CI/CD + Git 協作 + 敏捷流程 + 影響力 會出現什麼維護成本？
2. 針對「自動跑 lint/test/build」，你至少要做哪 2 個設計取捨？為什麼？
3. 在 EduFlow 裡，今天這個主題最適合落在哪個頁面或元件？原因是什麼？
4. 新手在做「GitHub Actions 基礎 CI」時最常犯的 1–2 個錯誤是什麼？你要怎麼避免？
5. 如果面試官問你今天的設計決策，你會如何用 1 分鐘講出『問題 → 方案 → 取捨』？",請用白話向一位 junior 解釋：為什麼「GitHub Actions 基礎 CI」不能只追求能動，而要同時考慮可維護性？請順便用「自動跑 lint/test/build」舉例。,EduFlow 完成「自動跑 lint/test/build」的最小可交付版本，並補一段可面試口說的設計說明。,2–3 小時,複習節奏：D+1 看 Day 51 卡片；D+7 回顧本日主題；D+21 加入反例與踩雷,此版本依前面已整理出的 60 天主線延伸；若要逐字對齊原始 plans.txt，需重新上傳原檔。
